id_profile,placa_carro,data_aquisicao,id_carro
591942,ZHT-2654, 2001-03-06,73634
381762,LEL-7635, 1999-01-29,39149
653260,KUL-6169, 1999-06-13,48149
902810,CRX-3766, 2016-03-10,69188
506083,QDE-6758, 1988-11-22,8833
185696,FHS-5836, 1971-01-15,6517
548976,PTC-8145, 2008-02-12,81634
944453,XEH-4881, 1993-09-01,27183
424047,MHD-3337, 1978-10-09,91205
5365,BUA-7443, 1986-10-21,77107
722801,NRL-1915, 2011-05-05,26920
364131,NFU-1390, 2006-06-28,66816
956561,UFW-9127, 2016-03-06,44337
510770,QHB-6042, 2009-08-12,89439
996546,JIB-0272, 1990-08-27,12737
689493,VME-8650, 1991-09-15,72537
584658,TFK-5410, 2006-10-15,24354
710333,HOV-3034, 1987-05-31,44961
384429,EOA-0448, 2021-06-27,61819
225553,GEE-6992, 1990-08-28,10673
476370,ZUS-7771, 1973-09-29,56446
274678,XJA-5496, 1979-01-19,95655
888367,QUW-4285, 1992-05-31,97274
424668,CAI-3661, 1987-09-06,4350
325881,WIZ-0886, 1988-09-30,69221
58115,BEJ-3466, 2003-03-18,9259
505436,IWL-5329, 2012-08-23,99915
508323,PIX-8697, 2017-09-01,41125
520055,PUZ-7170, 1975-03-24,57668
148033,RZG-0401, 1993-07-24,42312
247606,ZER-3513, 1993-07-19,89399
411568,RLQ-1833, 1983-10-21,28137
276399,AZT-9020, 2018-05-04,36387
526783,MPQ-0144, 1991-10-09,32236
287053,FFV-7907, 1996-07-12,5048
73367,DFD-4871, 1994-09-07,97398
949272,LUD-5125, 2005-07-23,16329
831438,QEJ-0731, 1992-09-20,1220
337913,RUE-8314, 1979-05-02,71468
278658,GWD-8325, 2010-06-02,3461
281939,XAI-7543, 2008-04-24,39396
70404,NLX-8168, 2017-06-09,56090
462510,UWA-9123, 1972-03-07,11985
448469,JXJ-4164, 1984-03-05,30632
221108,POC-9177, 1992-09-23,7476
124151,RIH-2751, 1997-02-06,9346
876403,CLW-9587, 1976-12-22,58545
562921,PTF-7691, 1986-05-19,4265
367274,AHR-8360, 1980-10-21,83251
264570,IZA-8862, 2000-08-20,27964
495764,UGF-6695, 1977-11-04,70579
371282,ZQV-9036, 1985-06-28,2974
280305,EMK-1564, 1998-04-14,81098
302183,PMA-2365, 1977-01-01,79148
36861,FMX-2356, 1980-01-08,9237
511538,YYO-4648, 1993-10-13,31632
823240,WEL-7356, 1986-10-09,19394
834773,SLA-8441, 1970-06-23,26832
124344,WSR-9589, 1989-01-29,34340
606429,RNI-9850, 2000-06-24,91558
349758,KMU-5299, 2013-06-10,87637
484338,NDX-7382, 2018-01-06,22582
484917,UNF-2121, 2006-08-28,94190
828915,DTO-2504, 1985-12-08,481
