id_profile,cargo,empresa,id
33062,Engenheiro químico,da Conceição,38503
97704,Contador,Sales Caldeira S/A,79501
19073,Marechal,Fogaça,33353
18918,Cumim,da Luz,24143
61048,Conferente de expedição,Cavalcanti,86763
75089,Técnico em documentação,Moraes Moreira S.A.,35470
11338,Polidor de produção,Pinto,48914
53918,Carnavalesco,da Rosa - ME,71077
11512,Cartunista,Nunes Moreira e Filhos,28114
29897,Agente penitenciário,Aragão,12559
13709,Intérprete de Bíblias,Campos e Filhos,72721
31423,Engenheiro de horticultura,Costa,80339
6297,Notário,Monteiro Carvalho - EI,23652
57383,Maestro,Moraes,50576
50965,Major,Fernandes S/A,51001
66805,Técnico em agropecuária,Aragão Cardoso S.A.,36036
65096,Engenheiro acústico,da Cruz Novaes e Filhos,50075
32390,Encarregado de manutenção predial,Aragão,63944
88722,Capelão,Alves das Neves - EI,68259
8413,Diretor de produção,Costela,89717
42837,Cardiologista,da Luz - ME,24529
13627,Mensageiro,Rezende - EI,51581
36051,Montador,Cardoso Silva S/A,81866
54262,Ambulante,Castro,16029
1829,Tenista,da Mata,86200
54748,Otorrinolaringologista,Dias S.A.,89814
39370,Tecnólogo em desenvolvimento social,Rocha,8802
98578,Tecnólogo em produção de bebidas,Araújo,81743
39416,Engenheiro têxtil,Vieira,84527
27084,Ecólogo,Ferreira Porto S.A.,89962
60492,Guincheiro,da Mota S.A.,75557
57836,Engenheiro químico,Barbosa Gomes - ME,90544
7928,Terapeuta ocupacional,Pires,70766
81853,Saxofonista,Vieira,29452
26460,Bombeiro,Silveira Araújo e Filhos,45572
88036,Fotógrafo,Souza,93533
37356,Cientista social,Caldeira da Luz Ltda.,12082
60664,Urbanista,Cardoso Araújo S/A,70448
54807,Webmaster,Gonçalves,67848
20211,Designer gráfico,Campos Campos S.A.,55074
9238,Profissional de rádio e tv,Santos,83672
55069,Estofador,Caldeira,58114
39422,Repositor,Fogaça,19006
33818,Babysitter,Nunes Cavalcanti S/A,77519
58137,Clínico geral,Nogueira,23841
69550,Diarista,Moreira,97568
53966,Jornalista,Cardoso,18665
16584,Portuário,Viana,5085
60887,Marketeiro,Barros da Luz S.A.,6239
11211,Polidor de produção,Rodrigues,93723
92259,Motofrete,Farias,3444
20975,Pedreiro,Moraes Rocha - EI,15328
3250,Lenhador,Ferreira Barbosa - EI,7328
